제품명,C-Code,제품명_norm
씬지록신정150μgSynthyroxine Tab. 150μg,K-040119,씬지록신정150μgsynthyroxine tab. 150μg
바로코민골드정Varocomin Gold Tab.,K-040326,바로코민골드정varocomin gold tab.
비알세티정BR Ceti Tab.,K-040733,비알세티정br ceti tab.
모아헬드원정Moahealthone Tab.,K-041092,모아헬드원정moahealthone tab.
네오빅스정Neovix Tab.,K-041221,네오빅스정neovix tab.
조인파워연질캡슐Joinpower Soft Cap.,K-041344,조인파워연질캡슐joinpower soft cap.
제클러캡슐250mgJeclor Cap. 250mg,K-041600,제클러캡슐250mgjeclor cap. 250mg
몬테리진캡슐Monterizine Cap.,K-041676,몬테리진캡슐monterizine cap.
록셀정150mgRocel Tab. 150mg,K-041744,록셀정150mgrocel tab. 150mg
벤포벨브이정Benfobell V Tab.,K-042035,벤포벨브이정benfobell v tab.
씬지록신정75μgSynthyroxine Tab. 75μg,K-042103,씬지록신정75μgsynthyroxine tab. 75μg
콘파워600정Conpower 600 Tab.,K-042174,콘파워600정conpower 600 tab.
씬지록신정125μgSynthyroxine Tab. 125μg,K-042262,씬지록신정125μgsynthyroxine tab. 125μg
씬지록신정25μgSynthyroxine Tab. 25μg,K-042269,씬지록신정25μgsynthyroxine tab. 25μg
씬지록신정100μgSynthyroxine Tab. 100μg,K-042340,씬지록신정100μgsynthyroxine tab. 100μg
프리미엄미네코다정Premium Minecoda Tab.,K-042736,프리미엄미네코다정premium minecoda tab.
슈퍼피린캡슐75/75mgSuperpirin Cap. 75/75mg,K-042835,슈퍼피린캡슐75/75mgsuperpirin cap. 75/75mg
콘티플러스연질캡슐Chonti Plus Soft Cap.,K-043376,콘티플러스연질캡슐chonti plus soft cap.
빅조인에프정Bigjoin F Tab.,K-043468,빅조인에프정bigjoin f tab.
에스슬림정S-slim Tab.,K-043508,에스슬림정s-slim tab.
보령니트로푸란토인캡슐Boryung Nitrofurantoin Cap.,K-043511,보령니트로푸란토인캡슐boryung nitrofurantoin cap.
몬테리진츄정Monterizine Chewable Tab.,K-043670,몬테리진츄정monterizine chewable tab.
살사라인정Salsaline Tab.,K-043911,살사라인정salsaline tab.
본탑600골드정Bonetop 600 Gold Tab.,K-044171,본탑600골드정bonetop 600 gold tab.
제이그렐정Jgrel Tab.,K-044312,제이그렐정jgrel tab.
디펜티딘정10mgDifentidine Tab. 10mg,K-044704,디펜티딘정10mgdifentidine tab. 10mg
넥콘600에프정Necon 600 F Tab.,K-044831,넥콘600에프정necon 600 f tab.
쎄클러캡슐250mgSeclor Cap. 250mg,K-044832,쎄클러캡슐250mgseclor cap. 250mg
멀티큐텐플러스정Multi-Q10 Plus Tab.,K-044872,멀티큐텐플러스정multi-q10 plus tab.
에이목스캡슐500mgA-mox Cap. 500mg,K-044927,에이목스캡슐500mga-mox cap. 500mg
세파콜에프캡슐Cefacol F Cap.,K-044948,세파콜에프캡슐cefacol f cap.
메피솔론정Mepisolone Tab.,K-044992,메피솔론정mepisolone tab.
세파독심정Cefadoxime Tab.,K-045311,세파독심정cefadoxime tab.
셀트리온네오파정Celltrion NeopaTab.,K-045325,셀트리온네오파정celltrion neopatab.
세프리온캡슐Ceprion Cap.,K-045442,세프리온캡슐ceprion cap.
세파난정Cefanan Tab.,K-046030,세파난정cefanan tab.
록씨원정Roxiwon Tab.,K-046470,록씨원정roxiwon tab.
세파원캡슐500mgCefaone Cap. 500mg,K-046870,세파원캡슐500mgcefaone cap. 500mg
조인본골드정Join Bon Gold Tab.,K-047633,조인본골드정join bon gold tab.
고려세파클러캡슐KDC Cefaclor Cap.,K-047816,고려세파클러캡슐kdc cefaclor cap.
레보콜드정Levocold Tab.,K-048130,레보콜드정levocold tab.
비코잘정5mgBicozal Tab. 5mg,K-048170,비코잘정5mgbicozal tab. 5mg
제이세파캡슐250mgJ-cefa Cap. 250mg,K-048653,제이세파캡슐250mgj-cefa cap. 250mg
세클리캡슐Ceclri Cap.,K-048684,세클리캡슐ceclri cap.
퍼킨씨알정50-200mgPerkin CR Tab. 50-200mg,K-049428,퍼킨씨알정50-200mgperkin cr tab. 50-200mg
조인트맥스프리미엄정Joint Max Premium Tab.,K-049633,조인트맥스프리미엄정joint max premium tab.
콘조탑골드600정Chonjotop Gold 600 Tab.,K-052476,콘조탑골드600정chonjotop gold 600 tab.
콘빅600정Conbic 600 Tab.,K-052542,콘빅600정conbic 600 tab.
미네큐비타정Minae Q Vita Tab.,K-052986,미네큐비타정minae q vita tab.
